doc_id,source,title,url,drugs,access,doi,n_chunks,en_bronze
NCT06811558,clinicaltrials,A Multicenter Head-to-head Comparison of Ixekizumab Vs. Secukizumab in Over 70-year-old Patients with Moderate-to-severe Plaque Psoriasis,https://clinicaltrials.gov/study/NCT06811558,ixekizumab,open,,2,si
NCT06857942,clinicaltrials,"A Phase 4, Prospective, Open-Label, Single Arm Study to Assess the Effectiveness of Tirzepatide After Initiation of Ixekizumab in Adult Participants With Moderate-to-Severe Plaque Psoriasis and Obesity or Overweight in Clinical Practice",https://clinicaltrials.gov/study/NCT06857942,ixekizumab,open,,1,si
NCT06863493,clinicaltrials,Study of the Safety and Effectiveness of Oral SFA-002 Compared to Oral Apremilast (Otezla) Tablets and Placebo in Mild to Severe Plaque Psoriasis,https://clinicaltrials.gov/study/NCT06863493,apremilast,open,,2,si
NCT06864026,clinicaltrials,"A Phase 4, Prospective, Open-Label, Single-Arm Study to Assess the Effectiveness of Tirzepatide After Initiation of Ixekizumab in Adult Participants With Active Psoriatic Arthritis and Overweight or Obesity in Clinical Practice.",https://clinicaltrials.gov/study/NCT06864026,ixekizumab,open,,1,si
NCT06945107,clinicaltrials,"A Phase III, Multicenter, Randomized, Double-Blind, Active-Controlled Study to Evaluate the Efficacy and Safety of Switching to Picankibart in Patients With Plaque Psoriasis With an Inadequate Response to Interleukin-17 Monoclonal Antibody Therapy",https://clinicaltrials.gov/study/NCT06945107,ixekizumab,open,,2,si
NCT07021495,clinicaltrials,"A Prospective, Multi-Center, Observational Biomarker Real-World Evidence Study for In-Depth Profiling of Patients With Chronic Immune-Mediated Inflammatory Skin Diseases in Daily Practice",https://clinicaltrials.gov/study/NCT07021495,ixekizumab; plaque_psoriasis,open,,6,si
NCT07041112,clinicaltrials,Pharmacogenetic Observational Study Evaluating the Influence of Genetic Variants and Cardiometabolic Risk Factors on 10-Year Survival of Biologic Therapies in Patients With Cutaneous Psoriasis With or Without Psoriatic Arthritis,https://clinicaltrials.gov/study/NCT07041112,ixekizumab,open,,2,si
NCT07138898,clinicaltrials,Immunosuppressant Management in Rheumatology Patients Undergoing Elective Total Shoulder Arthroplasty,https://clinicaltrials.gov/study/NCT07138898,ixekizumab,open,,1,si
NCT07140666,clinicaltrials,Analysis of Influence Factors on Osteopenia in Different Treatment of Psoriasis,https://clinicaltrials.gov/study/NCT07140666,secukinumab,open,,2,si
NCT07151508,clinicaltrials,Successful Treatment of Netherton Syndrome With Combination of Secukinumab and Dupilumab.,https://clinicaltrials.gov/study/NCT07151508,secukinumab,open,,1,si
