doc_id,source,title,url,drugs,access,doi,n_chunks,en_bronze
40881098,pubmed,Outcomes and adverse events following intra-arterial chemotherapy for retinoblastoma: A single center study in South India.,https://pubmed.ncbi.nlm.nih.gov/40881098/,carboplatin; melphalan; topotecan,open,10.5409/wjcp.v14.i3.103732,4,si
40891611,pubmed,Eye Salvage and Vision Preservation in High-Risk Intraocular Retinoblastoma Patients: Long-Term Results From the Prospective Phase II AIEOP RTB 012 Study.,https://pubmed.ncbi.nlm.nih.gov/40891611/,carboplatin; etoposide,open,10.1002/cam4.71188,3,si
40893615,pubmed,Suprachoroidal Injection of Topotecan for Retinoblastoma: A Preclinical Study.,https://pubmed.ncbi.nlm.nih.gov/40893615/,topotecan,open,10.1016/j.xops.2025.100875,5,si
40953406,pubmed,LACK OF COMPLICATIONS OF HIGH-DOSE INTRAVITREAL TOPOTECAN FOR RECURRENT RETINOBLASTOMA IN 81 CONSECUTIVE INJECTIONS.,https://pubmed.ncbi.nlm.nih.gov/40953406/,topotecan,abstract_only,10.1097/IAE.0000000000004678,4,si
40993896,pubmed,Angiogenesis Signaling in Retinoblastoma: Prognostic and Therapeutic Applications.,https://pubmed.ncbi.nlm.nih.gov/40993896/,retinoblastoma,open,10.1097/IIO.0000000000000587,3,si
40993900,pubmed,Intra-arterial Chemotherapy for Retinoblastoma: Real-world Experience.,https://pubmed.ncbi.nlm.nih.gov/40993900/,carboplatin; melphalan; topotecan,abstract_only,10.1097/IIO.0000000000000591,3,si
40993901,pubmed,Intravitreal Chemotherapy in Retinoblastoma: Current Trends and Future Directions.,https://pubmed.ncbi.nlm.nih.gov/40993901/,melphalan; retinoblastoma; topotecan,abstract_only,10.1097/IIO.0000000000000581,2,si
41001873,pubmed,Intracameral and Intravitreal Chemotherapy Combined With Intra-arterial Chemotherapy for a Recurrent Retinoblastoma With Anterior Chamber and Vitreous Seeding.,https://pubmed.ncbi.nlm.nih.gov/41001873/,melphalan,abstract_only,10.3928/01913913-20250701-06,1,si
41049505,pubmed,High-dose topotecan (90 and 180 μG) for recurrent subretinal and vitreous seeding in retinoblastoma.,https://pubmed.ncbi.nlm.nih.gov/41049505/,topotecan,open,10.1016/j.ajoc.2025.102437,2,si
41063807,pubmed,Choroidal Neovascularization following Intra-Arterial Melphalan Chemotherapy for Retinoblastoma.,https://pubmed.ncbi.nlm.nih.gov/41063807/,melphalan,open,10.1159/000547747,3,si
